record_id,user_id,date,day_of_week,activity_type,planned_time_hrs,actual_time_hrs,completion_status,interruption_count,energy_level,mood,remarks,invalid_time_flag,energy_missing_flag,duplicate_flag,efficiency,burnout_risk,high_interruption_flag
19,101,2025-11-10,wed,study,3.0,3.0,yes,1,4.0,high,good,False,False,True,1.0,0,False
20,101,2025-11-10,wed,study,3.0,3.0,yes,1,4.0,high,duplicate row,False,False,True,1.0,0,False
21,102,2025-11-10,wed,work,5.0,5.5,yes,2,4.0,neutral,overtime,False,False,False,1.1,0,False
22,102,2025-11-11,thu,study,3.0,2.0,no,6,4.0,low,attention issues,False,True,True,0.6666666666666666,0,True
23,101,2025-11-11,thu,rest,1.0,0.0,no,5,1.0,low,exhausted,False,False,False,0.0,0,True
24,101,2025-11-12,fri,study,4.0,4.0,yes,0,5.0,high,ideal,False,False,False,1.0,0,False
25,102,2025-11-12,fri,work,6.0,7.0,yes,3,3.0,neutral,long day,False,False,False,1.1666666666666667,0,False
26,101,2025-11-13,sat,study,3.0,,no,9,2.0,low,data error,True,False,True,,0,True
27,102,2025-11-13,sat,rest,2.0,2.0,yes,0,4.0,high,recovered,False,False,False,1.0,0,False
28,101,2025-11-14,sun,work,2.0,1.0,no,4,2.0,low,lazy,False,False,True,0.5,0,False
29,102,2025-11-14,sun,study,3.0,2.5,yes,1,4.0,neutral,okay,False,False,False,0.8333333333333334,0,False
30,101,2025-11-15,mon,study,3.0,3.0,yes,0,5.0,high,clean day,False,False,True,1.0,0,False
1,101,2025-11-08,mon,study,2.5,3.0,yes,2,4.0,high,good focus,False,False,True,1.2,0,False
2,101,2025-11-09,tue,study,2.0,2.5,yes,5,3.0,neutral,overstudied,False,False,True,1.25,0,True
3,101,2025-11-10,wed,study,2.5,2.0,no,7,3.0,low,lack of focus,False,True,True,0.8,0,True
4,101,2025-11-11,thu,work,3.5,5.0,yes,1,5.0,high,productive day,False,False,False,1.4285714285714286,0,False
5,101,2025-11-12,fri,rest,1.0,0.0,no,3,2.0,low,tired,False,False,False,0.0,0,False
6,102,2025-11-08,mon,study,2.0,2.5,yes,0,4.0,neutral,ok,False,False,False,1.25,0,False
7,102,2025-11-09,tue,work,4.5,5.5,yes,4,3.0,low,extra work,False,False,False,1.2222222222222223,0,False
8,102,2025-11-10,wed,study,3.5,1.5,no,6,4.0,neutral,distractions,False,True,False,0.42857142857142855,0,True
9,102,2025-11-11,thu,study,2.0,2.5,yes,1,5.0,high,smooth,False,False,True,1.25,0,False
10,102,2025-11-12,fri,rest,0.5,1.5,yes,0,4.0,high,relaxed,False,False,False,3.0,0,False
11,101,2025-11-13,sat,study,3.5,3.0,yes,2,4.0,neutral,steady,False,False,True,0.8571428571428571,0,False
12,101,2025-11-14,sun,work,2.5,0.5,no,8,2.0,low,lazy mood,False,False,True,0.2,0,True
13,102,2025-11-13,sat,study,2.0,2.0,yes,1,3.0,neutral,minor typo,False,False,False,1.0,0,False
14,102,2025-11-14,sun,rest,1.5,1.0,no,5,4.0,low,skipped,False,True,False,0.6666666666666666,0,True
15,101,2025-11-15,mon,study,3.5,4.0,yes,3,3.0,high,pushed hard,False,False,True,1.1428571428571428,0,False
16,101,2025-11-16,tue,study,3.0,1.5,no,6,3.0,low,low energy,False,True,True,0.5,0,True
17,102,2025-11-15,mon,work,4.5,4.5,yes,2,5.0,high,consistent,False,False,False,1.0,0,False
18,102,2025-11-16,tue,study,2.5,1.5,no,4,3.0,neutral,slow start,False,False,False,0.6,0,False
19,101,2025-11-17,wed,study,3.5,3.5,yes,1,4.0,high,good,False,False,True,1.0,0,False
20,101,2025-11-17,wed,study,3.5,3.5,yes,1,4.0,high,duplicate row,False,False,True,1.0,0,False
21,102,2025-11-17,wed,work,5.0,6.0,yes,2,4.0,neutral,overtime,False,False,False,1.2,0,False
22,102,2025-11-18,thu,study,3.0,2.0,no,6,4.0,low,attention issues,False,True,True,0.6666666666666666,0,True
23,101,2025-11-18,thu,rest,1.5,0.5,no,5,1.0,low,exhausted,False,False,False,0.3333333333333333,0,True
24,101,2025-11-19,fri,study,4.5,4.0,yes,0,5.0,high,ideal,False,False,False,0.8888888888888888,0,False
25,102,2025-11-19,fri,work,6.0,7.5,yes,3,3.0,neutral,long day,False,False,False,1.25,0,False
26,101,2025-11-20,sat,study,3.0,,no,9,3.0,low,data error,True,True,True,,0,True
27,102,2025-11-20,sat,rest,2.0,1.5,yes,0,4.0,high,recovered,False,False,False,0.75,0,False
28,101,2025-11-21,sun,work,1.5,1.0,no,4,2.0,low,lazy,False,False,True,0.6666666666666666,0,False
29,102,2025-11-21,sun,study,2.5,2.0,yes,1,4.0,neutral,okay,False,False,False,0.8,0,False
30,101,2025-11-22,mon,study,2.5,2.5,yes,0,3.0,high,clean day,False,True,True,1.0,0,False
1,101,2025-11-15,mon,study,2.5,2.5,yes,2,4.0,high,good focus,False,False,True,1.0,0,False
2,101,2025-11-16,tue,study,1.5,3.0,yes,5,3.0,neutral,overstudied,False,False,True,2.0,0,True
3,101,2025-11-17,wed,study,3.0,2.0,no,7,3.0,low,lack of focus,False,True,True,0.6666666666666666,0,True
4,101,2025-11-18,thu,work,3.5,4.0,yes,1,5.0,high,productive day,False,False,False,1.1428571428571428,0,False
5,101,2025-11-19,fri,rest,0.5,0.0,no,3,2.0,low,tired,False,False,False,0.0,0,False
6,102,2025-11-15,mon,study,2.0,2.5,yes,0,4.0,neutral,ok,False,False,False,1.25,0,False
7,102,2025-11-16,tue,work,4.5,5.5,yes,4,3.0,low,extra work,False,False,False,1.2222222222222223,0,False
8,102,2025-11-17,wed,study,3.0,1.5,no,6,4.0,neutral,distractions,False,True,False,0.5,0,True
9,102,2025-11-18,thu,study,3.0,2.5,yes,1,5.0,high,smooth,False,False,True,0.8333333333333334,0,False
10,102,2025-11-19,fri,rest,0.5,1.5,yes,0,4.0,high,relaxed,False,False,False,3.0,0,False
11,101,2025-11-20,sat,study,4.5,2.5,yes,2,4.0,neutral,steady,False,False,True,0.5555555555555556,0,False
12,101,2025-11-21,sun,work,3.0,1.5,no,8,2.0,low,lazy mood,False,False,True,0.5,0,True
13,102,2025-11-20,sat,study,1.5,3.0,yes,1,3.0,neutral,minor typo,False,False,False,2.0,0,False
14,102,2025-11-21,sun,rest,2.0,1.0,no,5,4.0,low,skipped,False,True,False,0.5,0,True
15,101,2025-11-22,mon,study,3.5,3.5,yes,3,3.0,high,pushed hard,False,False,True,1.0,0,False
16,101,2025-11-23,tue,study,3.0,1.5,no,6,3.0,low,low energy,False,True,True,0.5,0,True
17,102,2025-11-22,mon,work,3.5,3.5,yes,2,5.0,high,consistent,False,False,False,1.0,0,False
18,102,2025-11-23,tue,study,1.5,1.5,no,4,3.0,neutral,slow start,False,False,False,1.0,0,False
19,101,2025-11-24,wed,study,3.5,3.0,yes,1,4.0,high,good,False,False,True,0.8571428571428571,0,False
20,101,2025-11-24,wed,study,3.0,3.5,yes,1,4.0,high,duplicate row,False,False,True,1.1666666666666667,0,False
21,102,2025-11-24,wed,work,4.5,5.5,yes,2,4.0,neutral,overtime,False,False,False,1.2222222222222223,0,False
22,102,2025-11-25,thu,study,3.5,1.5,no,6,4.0,low,attention issues,False,True,True,0.42857142857142855,0,True
23,101,2025-11-25,thu,rest,0.5,,no,5,1.0,low,exhausted,True,False,False,,0,True
24,101,2025-11-26,fri,study,3.5,4.0,yes,0,5.0,high,ideal,False,False,False,1.1428571428571428,0,False
25,102,2025-11-26,fri,work,6.0,6.5,yes,3,3.0,neutral,long day,False,False,False,1.0833333333333333,0,False
26,101,2025-11-27,sat,study,2.5,,no,9,2.0,low,data error,True,False,True,,0,True
27,102,2025-11-27,sat,rest,2.0,2.0,yes,0,4.0,high,recovered,False,False,False,1.0,0,False
28,101,2025-11-28,sun,work,1.5,1.0,no,4,2.0,low,lazy,False,False,True,0.6666666666666666,0,False
29,102,2025-11-28,sun,study,3.5,2.0,yes,1,4.0,neutral,okay,False,True,False,0.5714285714285714,0,False
30,101,2025-11-29,mon,study,2.5,2.5,yes,0,5.0,high,clean day,False,False,True,1.0,0,False
1,101,2025-11-22,mon,study,3.5,2.5,yes,2,4.0,high,good focus,False,False,True,0.7142857142857143,0,False
2,101,2025-11-23,tue,study,1.5,3.5,yes,5,3.0,neutral,overstudied,False,False,True,2.3333333333333335,0,True
3,101,2025-11-24,wed,study,3.5,2.0,no,7,3.0,low,lack of focus,False,True,True,0.5714285714285714,0,True
4,101,2025-11-25,thu,work,3.5,5.0,yes,1,5.0,high,productive day,False,False,False,1.4285714285714286,0,False
5,101,2025-11-26,fri,rest,1.0,0.0,no,3,2.0,low,tired,False,False,False,0.0,0,False
6,102,2025-11-22,mon,study,2.0,1.5,yes,0,4.0,neutral,ok,False,False,False,0.75,0,False
7,102,2025-11-23,tue,work,5.0,6.0,yes,4,3.0,low,extra work,False,False,False,1.2,0,False
8,102,2025-11-24,wed,study,3.0,2.0,no,6,4.0,neutral,distractions,False,True,False,0.6666666666666666,0,True
9,102,2025-11-25,thu,study,2.0,2.0,yes,1,5.0,high,smooth,False,False,True,1.0,0,False
10,102,2025-11-26,fri,rest,1.0,2.5,yes,0,4.0,high,relaxed,False,False,False,2.5,0,False
11,101,2025-11-27,sat,study,4.5,3.0,yes,2,4.0,neutral,steady,False,False,True,0.6666666666666666,0,False
12,101,2025-11-28,sun,work,3.5,0.5,no,8,2.0,low,lazy mood,False,False,True,0.14285714285714285,0,True
13,102,2025-11-27,sat,study,2.5,2.0,yes,1,3.0,neutral,minor typo,False,False,False,0.8,0,False
14,102,2025-11-28,sun,rest,1.5,0.5,no,5,4.0,low,skipped,False,True,False,0.3333333333333333,0,True
15,101,2025-11-29,mon,study,3.0,4.5,yes,3,3.0,high,pushed hard,False,False,True,1.5,0,False
16,101,2025-11-30,tue,study,3.0,1.5,no,6,2.0,low,low energy,False,False,False,0.5,0,True
17,102,2025-11-29,mon,work,4.0,3.5,yes,2,5.0,high,consistent,False,False,False,0.875,0,False
18,102,2025-11-30,tue,study,1.5,1.0,no,4,3.0,neutral,slow start,False,False,False,0.6666666666666666,0,False
19,101,2025-12-01,wed,study,3.5,2.5,yes,1,3.0,high,good,False,True,True,0.7142857142857143,0,False
20,101,2025-12-01,wed,study,3.5,3.0,yes,1,4.0,high,duplicate row,False,False,True,0.8571428571428571,0,False
21,102,2025-12-01,wed,work,5.0,5.5,yes,2,4.0,neutral,overtime,False,False,False,1.1,0,False
22,102,2025-12-02,thu,study,3.5,1.5,no,6,4.0,low,attention issues,False,True,False,0.42857142857142855,0,True
23,101,2025-12-02,thu,rest,1.5,0.5,no,5,3.0,low,exhausted,False,True,False,0.3333333333333333,0,True
24,101,2025-12-03,fri,study,3.5,4.0,yes,0,5.0,high,ideal,False,False,False,1.1428571428571428,0,False
25,102,2025-12-03,fri,work,5.5,6.5,yes,3,3.0,neutral,long day,False,False,False,1.1818181818181819,0,False
26,101,2025-12-04,sat,study,2.5,,no,9,3.0,low,data error,True,True,False,,0,True
27,102,2025-12-04,sat,rest,1.5,2.0,yes,0,4.0,high,recovered,False,False,False,1.3333333333333333,0,False
28,101,2025-12-05,sun,work,2.0,1.5,no,4,2.0,low,lazy,False,False,False,0.75,0,False
29,102,2025-12-05,sun,study,2.5,2.0,yes,1,4.0,neutral,okay,False,False,False,0.8,0,False
30,101,2025-12-06,mon,study,3.5,2.5,yes,0,5.0,high,clean day,False,False,False,0.7142857142857143,0,False
